Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Price (IDR)
2025-01-01,Ashwagandha,Herbal,140,39.4,5635.38,0.14,1,USA,Amazon,650177
2025-01-01,BCAA,Amino Acid,143,43.72,6192.98,0.19,1,UK,Amazon,721441
2025-01-01,Biotin,Vitamin,151,36.78,5567.24,0.19,3,UK,Amazon,606944
2025-01-01,Fish Oil,Omega,147,31.5,4685.08,0.21,0,Canada,Amazon,519757
2025-01-01,Iron Supplement,Mineral,156,28.14,4420.0,0.11,2,USA,Amazon,464239
2025-01-01,Magnesium,Mineral,162,23.57,3873.29,0.07,1,Canada,Amazon,388842
2025-01-01,Vitamin C,Vitamin,160,25.43,4077.73,0.14,1,USA,Amazon,419577
2025-01-01,Whey Protein,Protein,156,25.55,4171.48,0.17,2,Canada,Amazon,421575
2025-01-01,Zinc,Mineral,141,34.75,4900.87,0.07,0,Canada,Amazon,573304
2025-01-02,Ashwagandha,Herbal,140,38.74,5534.98,0.14,1,USA,Amazon,639139
2025-01-02,BCAA,Amino Acid,143,42.74,6057.18,0.19,1,UK,Amazon,705186
2025-01-02,Biotin,Vitamin,152,36.57,5535.68,0.19,3,UK,Amazon,603340
2025-01-02,Fish Oil,Omega,146,31.28,4637.17,0.2,0,Canada,Amazon,516201
2025-01-02,Iron Supplement,Mineral,156,28.89,4550.36,0.1,2,USA,Amazon,476661
2025-01-02,Magnesium,Mineral,161,22.92,3763.38,0.07,1,Canada,Amazon,378251
2025-01-02,Vitamin C,Vitamin,160,25.43,4070.29,0.14,1,USA,Amazon,419650
2025-01-02,Whey Protein,Protein,154,22.61,3658.34,0.17,2,Canada,Amazon,373065
2025-01-02,Zinc,Mineral,142,34.92,4960.51,0.08,0,Canada,Amazon,576156
2025-01-03,Ashwagandha,Herbal,140,38.07,5434.58,0.15,1,USA,Amazon,628102
2025-01-03,BCAA,Amino Acid,143,41.75,5921.38,0.18,1,UK,Amazon,688932
2025-01-03,Biotin,Vitamin,152,36.35,5504.13,0.19,3,UK,Amazon,599737
2025-01-03,Fish Oil,Omega,146,31.07,4589.25,0.2,0,Canada,Amazon,512645
2025-01-03,Iron Supplement,Mineral,157,29.64,4680.73,0.1,3,USA,Amazon,489084
2025-01-03,Magnesium,Mineral,161,22.28,3653.48,0.07,1,Canada,Amazon,367659
2025-01-03,Vitamin C,Vitamin,160,25.44,4062.85,0.14,1,USA,Amazon,419723
2025-01-03,Whey Protein,Protein,152,19.67,3145.21,0.16,3,Canada,Amazon,324555
2025-01-03,Zinc,Mineral,143,35.09,5020.15,0.09,1,Canada,Amazon,579009
2025-01-04,Ashwagandha,Herbal,140,37.4,5334.18,0.15,1,USA,Amazon,617065
2025-01-04,BCAA,Amino Acid,143,40.77,5785.58,0.18,1,UK,Amazon,672677
2025-01-04,Biotin,Vitamin,152,36.13,5472.57,0.19,3,UK,Amazon,596133
2025-01-04,Fish Oil,Omega,145,30.85,4541.34,0.19,0,Canada,Amazon,509089
2025-01-04,Iron Supplement,Mineral,157,30.39,4811.09,0.09,3,USA,Amazon,501506
2025-01-04,Magnesium,Mineral,161,21.64,3543.57,0.07,1,Canada,Amazon,357068
2025-01-04,Vitamin C,Vitamin,159,25.44,4055.4,0.14,1,USA,Amazon,419797
2025-01-04,Whey Protein,Protein,151,16.73,2632.07,0.16,3,Canada,Amazon,276045
2025-01-04,Zinc,Mineral,144,35.26,5079.79,0.1,1,Canada,Amazon,581861
2025-01-05,Ashwagandha,Herbal,140,36.73,5233.78,0.15,1,USA,Amazon,606027
2025-01-05,BCAA,Amino Acid,143,39.78,5649.78,0.18,1,UK,Amazon,656422
