Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Price (IDR)
2020-01-06,Ashwagandha,Herbal,181,15.49,2803.69,0.14,1,USA,Amazon,255585
2020-01-06,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,UK,Amazon,480150
2020-01-06,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-06,Fish Oil,Omega,161,12.91,2078.51,0.25,0,Canada,Amazon,213015
2020-01-06,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,582285
2020-01-06,Magnesium,Mineral,134,20.76,2781.84,0.0,0,Canada,Amazon,342540
2020-01-06,Vitamin C,Vitamin,139,42.51,5908.89,0.04,0,UK,Amazon,701415
2020-01-06,Whey Protein,Protein,150,12.08,1812.0,0.02,2,Canada,Amazon,199320
2020-01-06,Zinc,Mineral,147,46.68,6861.96,0.19,0,Canada,Amazon,770220
2020-01-07,Ashwagandha,Herbal,181,16.23,2926.54,0.14,1,USA,Amazon,267724
2020-01-07,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,UK,Amazon,480150
2020-01-07,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-07,Fish Oil,Omega,160,13.1,2094.17,0.24,0,Canada,Amazon,216156
2020-01-07,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,582285
2020-01-07,Magnesium,Mineral,136,23.6,3243.89,0.03,0,Canada,Amazon,389424
2020-01-07,Vitamin C,Vitamin,137,37.95,5258.77,0.07,0,USA,Amazon,626222
2020-01-07,Whey Protein,Protein,150,12.08,1812.0,0.02,2,Canada,Amazon,199320
2020-01-07,Zinc,Mineral,148,46.78,6924.48,0.19,0,Canada,Amazon,771917
2020-01-08,Ashwagandha,Herbal,180,16.96,3049.39,0.13,1,USA,Amazon,279864
2020-01-08,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,UK,Amazon,480150
2020-01-08,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-08,Fish Oil,Omega,159,13.29,2109.84,0.24,0,Canada,Amazon,219297
2020-01-08,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,582285
2020-01-08,Magnesium,Mineral,138,26.44,3705.94,0.07,0,Canada,Amazon,436307
2020-01-08,Vitamin C,Vitamin,136,33.4,4608.66,0.1,1,USA,Amazon,551029
2020-01-08,Whey Protein,Protein,150,12.08,1812.0,0.02,2,Canada,Amazon,199320
2020-01-08,Zinc,Mineral,149,46.89,6987.0,0.19,1,Canada,Amazon,773614
2020-01-09,Ashwagandha,Herbal,180,17.7,3172.24,0.13,1,USA,Amazon,292003
2020-01-09,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,UK,Amazon,480150
2020-01-09,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-09,Fish Oil,Omega,159,13.48,2125.5,0.23,0,Canada,Amazon,222438
2020-01-09,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,582285
2020-01-09,Magnesium,Mineral,140,29.28,4167.99,0.1,0,Canada,Amazon,483191
2020-01-09,Vitamin C,Vitamin,134,28.84,3958.54,0.13,1,USA,Amazon,475836
2020-01-09,Whey Protein,Protein,150,12.08,1812.0,0.02,2,Canada,Amazon,199320
2020-01-09,Zinc,Mineral,150,46.99,7049.52,0.19,1,Canada,Amazon,775311
2020-01-10,Ashwagandha,Herbal,180,18.43,3295.09,0.13,1,USA,Amazon,304142
2020-01-10,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,UK,Amazon,480150
2020-01-10,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-10,Fish Oil,Omega,158,13.67,2141.17,0.23,0,Canada,Amazon,225579
2020-01-10,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,582285
2020-01-10,Magnesium,Mineral,142,32.13,4630.05,0.14,1,Canada,Amazon,530074
2020-01-10,Vitamin C,Vitamin,133,24.28,3308.43,0.15,1,USA,Amazon,400644
2020-01-10,Whey Protein,Protein,150,12.08,1812.0,0.02,2,Canada,Amazon,199320
2020-01-10,Zinc,Mineral,151,47.09,7112.04,0.2,1,Canada,Amazon,777009
2020-01-11,Ashwagandha,Herbal,179,19.17,3417.94,0.12,1,USA,Amazon,316281
2020-01-11,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,UK,Amazon,480150
2020-01-11,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-11,Fish Oil,Omega,157,13.86,2156.83,0.22,0,Canada,Amazon,228719
2020-01-11,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,582285
2020-01-11,Magnesium,Mineral,144,34.97,5092.1,0.17,1,Canada,Amazon,576958
2020-01-11,Vitamin C,Vitamin,131,19.72,2658.31,0.18,1,USA,Amazon,325451
2020-01-11,Whey Protein,Protein,150,12.08,1812.0,0.02,2,Canada,Amazon,199320
2020-01-11,Zinc,Mineral,152,47.19,7174.56,0.2,1,Canada,Amazon,778706
2020-01-12,Ashwagandha,Herbal,179,19.9,3540.8,0.12,1,USA,Amazon,328421
2020-01-12,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,UK,Amazon,480150
2020-01-12,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-12,Fish Oil,Omega,156,14.05,2172.5,0.21,0,Canada,Amazon,231860
2020-01-12,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,582285
2020-01-12,Magnesium,Mineral,146,37.81,5554.15,0.21,1,Canada,Amazon,623841
2020-01-12,Vitamin C,Vitamin,130,15.17,2008.2,0.21,2,USA,Amazon,250258
2020-01-12,Whey Protein,Protein,150,12.08,1812.0,0.02,2,Canada,Amazon,199320
2020-01-12,Zinc,Mineral,153,47.3,7237.08,0.2,2,Canada,Amazon,780403
2020-01-13,Ashwagandha,Herbal,179,20.64,3663.65,0.12,1,USA,Amazon,340560
2020-01-13,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,Canada,Amazon,480150
2020-01-13,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-13,Fish Oil,Omega,155,14.24,2188.16,0.21,0,Canada,Amazon,235001
2020-01-13,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,582285
2020-01-13,Magnesium,Mineral,148,40.65,6016.2,0.24,1,UK,Amazon,670725
2020-01-13,Vitamin C,Vitamin,128,10.61,1358.08,0.24,2,USA,Amazon,175065
2020-01-13,Whey Protein,Protein,150,12.08,1812.0,0.02,2,UK,Amazon,199320
2020-01-13,Zinc,Mineral,154,47.4,7299.6,0.2,2,USA,Amazon,782100
2020-01-14,Ashwagandha,Herbal,178,21.38,3786.5,0.11,1,USA,Amazon,352699
2020-01-14,BCAA,Amino Acid,158,27.43,4352.11,0.05,0,UK,Amazon,452666
2020-01-14,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-14,Fish Oil,Omega,154,14.43,2203.83,0.2,1,Canada,Amazon,238142
2020-01-14,Iron Supplement,Mineral,162,35.42,5724.38,0.21,2,USA,Amazon,584406
2020-01-14,Magnesium,Mineral,145,40.28,5842.0,0.23,1,Canada,Amazon,664644
2020-01-14,Vitamin C,Vitamin,129,11.8,1551.3,0.24,2,USA,Amazon,194724
2020-01-14,Whey Protein,Protein,149,13.13,1944.14,0.02,2,Canada,Amazon,216586
2020-01-14,Zinc,Mineral,155,46.87,7268.92,0.19,2,Canada,Amazon,773276
2020-01-15,Ashwagandha,Herbal,178,22.11,3909.35,0.11,1,USA,Amazon,364839
2020-01-15,BCAA,Amino Acid,156,25.77,4048.23,0.06,1,UK,Amazon,425181
2020-01-15,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-15,Fish Oil,Omega,154,14.62,2219.49,0.2,1,Canada,Amazon,241283
2020-01-15,Iron Supplement,Mineral,160,35.55,5696.5,0.2,2,USA,Amazon,586528
2020-01-15,Magnesium,Mineral,142,39.91,5667.81,0.21,1,Canada,Amazon,658562
2020-01-15,Vitamin C,Vitamin,130,12.99,1744.53,0.24,2,USA,Amazon,214382
2020-01-15,Whey Protein,Protein,148,14.17,2076.29,0.02,2,Canada,Amazon,233852
2020-01-15,Zinc,Mineral,157,46.33,7238.24,0.19,2,Canada,Amazon,764453
2020-01-16,Ashwagandha,Herbal,178,22.85,4032.2,0.11,1,USA,Amazon,376978
2020-01-16,BCAA,Amino Acid,154,24.1,3744.34,0.06,1,UK,Amazon,397697
2020-01-16,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-16,Fish Oil,Omega,153,14.81,2235.16,0.19,1,Canada,Amazon,244424
2020-01-16,Iron Supplement,Mineral,159,35.68,5668.61,0.2,2,USA,Amazon,588649
2020-01-16,Magnesium,Mineral,139,39.54,5493.61,0.2,1,Canada,Amazon,652481
2020-01-16,Vitamin C,Vitamin,131,14.18,1937.75,0.23,2,USA,Amazon,234041
2020-01-16,Whey Protein,Protein,147,15.22,2208.43,0.02,2,Canada,Amazon,251118
2020-01-16,Zinc,Mineral,158,45.8,7207.55,0.18,2,Canada,Amazon,755629
2020-01-17,Ashwagandha,Herbal,177,23.58,4155.05,0.1,2,USA,Amazon,389117
2020-01-17,BCAA,Amino Acid,151,22.44,3440.46,0.07,2,UK,Amazon,370213
2020-01-17,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-17,Fish Oil,Omega,152,15.0,2250.82,0.18,1,Canada,Amazon,247565
2020-01-17,Iron Supplement,Mineral,158,35.8,5640.72,0.19,2,USA,Amazon,590771
2020-01-17,Magnesium,Mineral,135,39.18,5319.41,0.18,1,Canada,Amazon,646399
2020-01-17,Vitamin C,Vitamin,133,15.38,2130.97,0.23,2,USA,Amazon,253699
2020-01-17,Whey Protein,Protein,146,16.27,2340.57,0.02,1,Canada,Amazon,268384
2020-01-17,Zinc,Mineral,160,45.26,7176.87,0.18,2,Canada,Amazon,746806
2020-01-18,Ashwagandha,Herbal,177,24.32,4277.9,0.1,2,USA,Amazon,401256
2020-01-18,BCAA,Amino Acid,149,20.77,3136.57,0.07,2,UK,Amazon,342729
2020-01-18,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-18,Fish Oil,Omega,151,15.19,2266.49,0.18,1,Canada,Amazon,250706
2020-01-18,Iron Supplement,Mineral,157,35.93,5612.83,0.19,2,USA,Amazon,592892
2020-01-18,Magnesium,Mineral,132,38.81,5145.21,0.17,1,Canada,Amazon,640318
2020-01-18,Vitamin C,Vitamin,134,16.57,2324.19,0.23,2,USA,Amazon,273358
2020-01-18,Whey Protein,Protein,145,17.31,2472.72,0.02,1,Canada,Amazon,285650
2020-01-18,Zinc,Mineral,161,44.73,7146.19,0.17,2,Canada,Amazon,737982
2020-01-19,Ashwagandha,Herbal,177,25.05,4400.75,0.1,2,USA,Amazon,413396
2020-01-19,BCAA,Amino Acid,147,19.11,2832.69,0.08,3,UK,Amazon,315244
2020-01-19,Biotin,Vitamin,161,32.01,5153.61,0.04,1,UK,Amazon,528165
2020-01-19,Fish Oil,Omega,150,15.38,2282.15,0.17,1,Canada,Amazon,253847
2020-01-19,Iron Supplement,Mineral,155,36.06,5584.95,0.19,2,USA,Amazon,595014
2020-01-19,Magnesium,Mineral,129,38.44,4971.02,0.15,1,Canada,Amazon,634236
2020-01-19,Vitamin C,Vitamin,135,17.76,2517.42,0.23,2,USA,Amazon,293016
2020-01-19,Whey Protein,Protein,144,18.36,2604.86,0.02,1,Canada,Amazon,302916
2020-01-19,Zinc,Mineral,163,44.19,7115.51,0.16,2,Canada,Amazon,729159
2020-01-20,Ashwagandha,Herbal,176,25.79,4523.6,0.09,2,USA,Amazon,425535
2020-01-20,BCAA,Amino Acid,145,17.44,2528.8,0.08,3,UK,Amazon,287760
2020-01-20,Biotin,Vitamin,161,32.01,5153.61,0.04,1,Canada,Amazon,528165
2020-01-20,Fish Oil,Omega,150,15.58,2297.82,0.16,1,Canada,Amazon,256988
2020-01-20,Iron Supplement,Mineral,154,36.19,5557.06,0.18,2,USA,Amazon,597135
2020-01-20,Magnesium,Mineral,126,38.07,4796.82,0.14,1,Canada,Amazon,628155
2020-01-20,Vitamin C,Vitamin,136,18.95,2710.64,0.23,2,USA,Amazon,312675
2020-01-20,Whey Protein,Protein,144,19.4,2737.0,0.02,1,Canada,Amazon,320182
2020-01-20,Zinc,Mineral,164,43.66,7084.83,0.16,2,Canada,Amazon,720335
2020-01-21,Ashwagandha,Herbal,176,26.53,4646.45,0.09,2,USA,Amazon,437674
2020-01-21,BCAA,Amino Acid,144,17.86,2575.94,0.08,3,UK,Amazon,294690
2020-01-21,Biotin,Vitamin,161,33.89,5460.8,0.04,1,UK,Amazon,559220
2020-01-21,Fish Oil,Omega,149,15.77,2313.48,0.16,1,Canada,Amazon,260128
2020-01-21,Iron Supplement,Mineral,153,36.32,5529.17,0.18,2,USA,Amazon,599256
2020-01-21,Magnesium,Mineral,127,37.0,4700.74,0.13,1,Canada,Amazon,610429
2020-01-21,Vitamin C,Vitamin,137,20.14,2903.86,0.22,2,USA,Amazon,332334
2020-01-21,Whey Protein,Protein,143,20.45,2869.15,0.01,1,Canada,Amazon,337449
2020-01-21,Zinc,Mineral,165,43.12,7054.14,0.15,2,Canada,Amazon,711511
2020-01-22,Ashwagandha,Herbal,176,27.26,4769.31,0.09,2,USA,Amazon,449814
2020-01-22,BCAA,Amino Acid,144,18.28,2623.09,0.09,3,UK,Amazon,301620
2020-01-22,Biotin,Vitamin,161,35.77,5768.0,0.05,2,UK,Amazon,590276
2020-01-22,Fish Oil,Omega,148,15.96,2329.14,0.15,1,Canada,Amazon,263269
2020-01-22,Iron Supplement,Mineral,151,36.45,5501.29,0.18,2,USA,Amazon,601378
2020-01-22,Magnesium,Mineral,129,35.92,4604.66,0.13,2,Canada,Amazon,592704
2020-01-22,Vitamin C,Vitamin,138,21.33,3097.09,0.22,2,USA,Amazon,351992
2020-01-22,Whey Protein,Protein,142,21.5,3001.29,0.01,1,Canada,Amazon,354715
2020-01-22,Zinc,Mineral,167,42.59,7023.46,0.14,2,Canada,Amazon,702688
2020-01-23,Ashwagandha,Herbal,175,28.0,4892.16,0.08,2,USA,Amazon,461953
2020-01-23,BCAA,Amino Acid,143,18.7,2670.23,0.09,3,UK,Amazon,308550
2020-01-23,Biotin,Vitamin,161,37.66,6075.19,0.05,2,UK,Amazon,621331
2020-01-23,Fish Oil,Omega,147,16.15,2344.81,0.15,1,Canada,Amazon,266410
2020-01-23,Iron Supplement,Mineral,150,36.58,5473.4,0.17,2,USA,Amazon,603499
2020-01-23,Magnesium,Mineral,130,34.85,4508.58,0.12,2,Canada,Amazon,574978
2020-01-23,Vitamin C,Vitamin,139,22.52,3290.31,0.22,2,USA,Amazon,371651
2020-01-23,Whey Protein,Protein,141,22.54,3133.44,0.01,1,Canada,Amazon,371981
2020-01-23,Zinc,Mineral,168,42.05,6992.78,0.14,2,Canada,Amazon,693864
2020-01-24,Ashwagandha,Herbal,175,28.73,5015.01,0.08,2,USA,Amazon,474092
2020-01-24,BCAA,Amino Acid,143,19.12,2717.38,0.1,2,UK,Amazon,315480
2020-01-24,Biotin,Vitamin,161,39.54,6382.38,0.06,2,UK,Amazon,652386
2020-01-24,Fish Oil,Omega,146,16.34,2360.47,0.14,1,Canada,Amazon,269551
2020-01-24,Iron Supplement,Mineral,149,36.7,5445.51,0.17,2,USA,Amazon,605621
2020-01-24,Magnesium,Mineral,131,33.77,4412.49,0.11,2,Canada,Amazon,557252
2020-01-24,Vitamin C,Vitamin,141,23.72,3483.53,0.22,1,USA,Amazon,391309
2020-01-24,Whey Protein,Protein,140,23.59,3265.58,0.01,0,Canada,Amazon,389247
2020-01-24,Zinc,Mineral,170,41.52,6962.1,0.13,3,Canada,Amazon,685041
2020-01-25,Ashwagandha,Herbal,175,29.47,5137.86,0.08,2,USA,Amazon,486231
2020-01-25,BCAA,Amino Acid,142,19.54,2764.52,0.1,2,UK,Amazon,322410
2020-01-25,Biotin,Vitamin,161,41.42,6689.58,0.06,2,UK,Amazon,683442
2020-01-25,Fish Oil,Omega,145,16.53,2376.14,0.13,1,Canada,Amazon,272692
2020-01-25,Iron Supplement,Mineral,148,36.83,5417.62,0.16,2,USA,Amazon,607742
2020-01-25,Magnesium,Mineral,132,32.7,4316.41,0.1,2,Canada,Amazon,539526
2020-01-25,Vitamin C,Vitamin,142,24.91,3676.75,0.22,1,USA,Amazon,410968
2020-01-25,Whey Protein,Protein,139,24.64,3397.72,0.01,0,Canada,Amazon,406513
2020-01-25,Zinc,Mineral,171,40.98,6931.42,0.13,3,Canada,Amazon,676217
2020-01-26,Ashwagandha,Herbal,174,30.2,5260.71,0.07,2,USA,Amazon,498371
2020-01-26,BCAA,Amino Acid,142,19.96,2811.67,0.11,2,UK,Amazon,329340
2020-01-26,Biotin,Vitamin,161,43.3,6996.77,0.07,3,UK,Amazon,714497
2020-01-26,Fish Oil,Omega,145,16.72,2391.8,0.13,1,Canada,Amazon,275833
2020-01-26,Iron Supplement,Mineral,146,36.96,5389.74,0.16,2,USA,Amazon,609864
2020-01-26,Magnesium,Mineral,134,31.62,4220.33,0.1,3,Canada,Amazon,521801
2020-01-26,Vitamin C,Vitamin,143,26.1,3869.98,0.22,1,USA,Amazon,430626
2020-01-26,Whey Protein,Protein,138,25.68,3529.87,0.01,0,Canada,Amazon,423779
2020-01-26,Zinc,Mineral,173,40.45,6900.74,0.12,3,Canada,Amazon,667394
2020-01-27,Ashwagandha,Herbal,174,30.94,5383.56,0.07,2,Canada,Amazon,510510
2020-01-27,BCAA,Amino Acid,141,20.38,2858.81,0.11,2,UK,Amazon,336270
2020-01-27,Biotin,Vitamin,162,45.18,7303.96,0.07,3,UK,Amazon,745552
2020-01-27,Fish Oil,Omega,144,16.91,2407.47,0.12,2,Canada,Amazon,278974
2020-01-27,Iron Supplement,Mineral,145,37.09,5361.85,0.16,2,USA,Amazon,611985
2020-01-27,Magnesium,Mineral,135,30.55,4124.25,0.09,3,USA,Amazon,504075
2020-01-27,Vitamin C,Vitamin,144,27.29,4063.2,0.21,1,USA,Amazon,450285
2020-01-27,Whey Protein,Protein,137,26.73,3662.01,0.01,0,UK,Amazon,441045
2020-01-27,Zinc,Mineral,174,39.91,6870.05,0.11,3,Canada,Amazon,658570
2020-01-28,Ashwagandha,Herbal,168,29.26,4984.96,0.09,2,USA,Amazon,482861
2020-01-28,BCAA,Amino Acid,141,20.8,2905.96,0.11,2,UK,Amazon,343200
2020-01-28,Biotin,Vitamin,162,47.07,7611.16,0.07,3,UK,Amazon,776608
2020-01-28,Fish Oil,Omega,143,17.1,2423.13,0.12,2,Canada,Amazon,282115
2020-01-28,Iron Supplement,Mineral,144,37.22,5333.96,0.15,2,USA,Amazon,614106
2020-01-28,Magnesium,Mineral,137,32.58,4501.26,0.11,3,Canada,Amazon,537641
2020-01-28,Vitamin C,Vitamin,145,28.48,4256.42,0.21,1,USA,Amazon,469944
2020-01-28,Whey Protein,Protein,138,26.74,3677.09,0.01,0,Canada,Amazon,441186
2020-01-28,Zinc,Mineral,175,39.38,6839.37,0.11,3,Canada,Amazon,649746
2020-01-29,Ashwagandha,Herbal,163,27.59,4586.36,0.11,2,USA,Amazon,455211
2020-01-29,BCAA,Amino Acid,140,21.22,2953.1,0.12,2,UK,Amazon,350130
2020-01-29,Biotin,Vitamin,162,48.95,7918.35,0.08,4,UK,Amazon,807663
2020-01-29,Fish Oil,Omega,142,17.29,2438.8,0.11,2,Canada,Amazon,285256
2020-01-29,Iron Supplement,Mineral,142,37.35,5306.08,0.15,2,USA,Amazon,616228
2020-01-29,Magnesium,Mineral,140,34.62,4878.26,0.12,2,Canada,Amazon,571206
2020-01-29,Vitamin C,Vitamin,146,29.67,4449.65,0.21,1,USA,Amazon,489602
2020-01-29,Whey Protein,Protein,138,26.75,3692.16,0.01,0,Canada,Amazon,441328
2020-01-29,Zinc,Mineral,177,38.84,6808.69,0.1,3,Canada,Amazon,640923
2020-01-30,Ashwagandha,Herbal,157,25.91,4187.76,0.13,2,USA,Amazon,427562
2020-01-30,BCAA,Amino Acid,140,21.64,3000.25,0.12,2,UK,Amazon,357060
2020-01-30,Biotin,Vitamin,162,50.83,8225.55,0.08,4,UK,Amazon,838719
2020-01-30,Fish Oil,Omega,141,17.48,2454.46,0.1,2,Canada,Amazon,288396
2020-01-30,Iron Supplement,Mineral,141,37.48,5278.19,0.15,2,USA,Amazon,618349
2020-01-30,Magnesium,Mineral,142,36.65,5255.27,0.14,2,Canada,Amazon,604772
2020-01-30,Vitamin C,Vitamin,147,30.86,4642.87,0.21,1,USA,Amazon,509261
2020-01-30,Whey Protein,Protein,139,26.76,3707.24,0.01,0,Canada,Amazon,441469
2020-01-30,Zinc,Mineral,178,38.31,6778.01,0.09,3,Canada,Amazon,632099
2020-01-31,Ashwagandha,Herbal,152,24.24,3789.15,0.16,2,USA,Amazon,399913
2020-01-31,BCAA,Amino Acid,139,22.06,3047.39,0.13,1,UK,Amazon,363990
2020-01-31,Biotin,Vitamin,162,52.71,8532.74,0.09,4,UK,Amazon,869774
2020-01-31,Fish Oil,Omega,140,17.67,2470.13,0.1,2,Canada,Amazon,291537
2020-01-31,Iron Supplement,Mineral,140,37.6,5250.3,0.14,2,USA,Amazon,620471
2020-01-31,Magnesium,Mineral,144,38.69,5632.27,0.15,2,Canada,Amazon,638338
2020-01-31,Vitamin C,Vitamin,149,32.06,4836.09,0.21,1,USA,Amazon,528919
2020-01-31,Whey Protein,Protein,139,26.76,3722.31,0.01,0,Canada,Amazon,441611
2020-01-31,Zinc,Mineral,180,37.77,6747.33,0.09,3,Canada,Amazon,623276
2020-02-01,Ashwagandha,Herbal,146,22.56,3390.55,0.18,2,USA,Amazon,372264
2020-02-01,BCAA,Amino Acid,139,22.48,3094.54,0.13,1,UK,Amazon,370920
2020-02-01,Biotin,Vitamin,162,54.6,8839.93,0.09,4,UK,Amazon,900829
2020-02-01,Fish Oil,Omega,140,17.86,2485.79,0.09,2,Canada,Amazon,294678
2020-02-01,Iron Supplement,Mineral,139,37.73,5222.41,0.14,2,USA,Amazon,622592
2020-02-01,Magnesium,Mineral,146,40.72,6009.28,0.17,2,Canada,Amazon,671904
2020-02-01,Vitamin C,Vitamin,150,33.25,5029.31,0.2,1,USA,Amazon,548578
2020-02-01,Whey Protein,Protein,140,26.77,3737.39,0.01,0,Canada,Amazon,441752
2020-02-01,Zinc,Mineral,181,37.24,6716.64,0.08,3,Canada,Amazon,614452
2020-02-02,Ashwagandha,Herbal,141,20.89,2991.95,0.2,2,USA,Amazon,344614
2020-02-02,BCAA,Amino Acid,138,22.9,3141.68,0.14,1,UK,Amazon,377850
2020-02-02,Biotin,Vitamin,162,56.48,9147.13,0.1,5,UK,Amazon,931885
2020-02-02,Fish Oil,Omega,139,18.05,2501.46,0.09,2,Canada,Amazon,297819
2020-02-02,Iron Supplement,Mineral,137,37.86,5194.53,0.13,2,USA,Amazon,624714
2020-02-02,Magnesium,Mineral,149,42.76,6386.28,0.18,1,Canada,Amazon,705469
2020-02-02,Vitamin C,Vitamin,151,34.44,5222.54,0.2,1,USA,Amazon,568236
2020-02-02,Whey Protein,Protein,140,26.78,3752.46,0.01,0,Canada,Amazon,441894
