Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,Price (IDR)
2020-01-06,Vitamin C,Vitamin,139,42.51,5908.89,0.04,0,UK,Amazon,701415.0
2020-01-06,Fish Oil,Omega,161,12.91,2078.51,0.25,0,Canada,Amazon,213015.0
2020-01-06,Zinc,Mineral,147,46.68,6861.96,0.19,0,Canada,Amazon,770220.0
2020-01-06,Collagen Peptides,Protein,147,10.96,1611.12,0.06,2,USA,Amazon,180840.0
2020-01-06,Magnesium,Mineral,134,20.76,2781.84,0.0,0,Canada,Amazon,342540.0
2020-01-06,Ashwagandha,Herbal,181,15.49,2803.69,0.14,1,USA,Amazon,255585.0
2020-01-06,Electrolyte Powder,Hydration,154,35.92,5531.68,0.04,2,USA,Amazon,592680.0
2020-01-13,Whey Protein,Protein,150,12.08,1812.0,0.02,2,UK,Amazon,199320.0
2020-01-13,Vitamin C,Vitamin,128,10.61,1358.08,0.24,2,USA,Amazon,175065.0
2020-01-13,Multivitamin,Vitamin,137,14.92,2044.04,0.17,2,USA,Amazon,246180.0
2020-01-13,BCAA,Amino Acid,160,29.1,4656.0,0.05,0,Canada,Amazon,480150.0
2020-01-13,Zinc,Mineral,154,47.4,7299.6,0.2,2,USA,Amazon,782100.0
2020-01-13,Magnesium,Mineral,148,40.65,6016.2,0.24,1,UK,Amazon,670725.0
2020-01-13,Melatonin,Sleep Aid,141,33.03,4657.23,0.21,2,USA,Amazon,544995.0
2020-01-13,Iron Supplement,Mineral,163,35.29,5752.27,0.21,2,USA,Amazon,582285.0
2020-01-13,Electrolyte Powder,Hydration,151,35.42,5348.42,0.07,2,USA,Amazon,584430.0
2020-01-20,BCAA,Amino Acid,145,17.44,2528.8,0.08,3,UK,Amazon,287760.0
2020-01-20,Magnesium,Mineral,126,38.07,4796.82,0.14,1,Canada,Amazon,628155.0
2020-01-20,Biotin,Vitamin,161,32.01,5153.61,0.04,1,Canada,Amazon,528165.0
2020-01-20,Electrolyte Powder,Hydration,147,29.19,4290.93,0.14,2,USA,Amazon,481635.0
2020-01-27,Whey Protein,Protein,137,26.73,3662.01,0.01,0,UK,Amazon,441045.0
2020-01-27,Magnesium,Mineral,135,30.55,4124.25,0.09,3,USA,Amazon,504075.0
2020-01-27,Ashwagandha,Herbal,174,30.94,5383.56,0.07,2,Canada,Amazon,510510.0
2020-01-27,Electrolyte Powder,Hydration,129,34.23,4415.67,0.04,3,Canada,Amazon,564795.0
2020-02-03,Vitamin C,Vitamin,152,35.63,5415.76,0.2,1,UK,Amazon,587895.0
2020-02-03,Fish Oil,Omega,138,18.24,2517.12,0.08,2,UK,Amazon,300960.0
2020-02-03,Multivitamin,Vitamin,151,53.89,8137.39,0.22,3,UK,Amazon,889185.0
2020-02-03,Pre-Workout,Performance,140,59.25,8295.0,0.19,0,UK,Amazon,977625.0
2020-02-03,Creatine,Performance,132,51.11,6746.52,0.1,2,Canada,Amazon,843315.0
2020-02-03,Zinc,Mineral,184,36.17,6655.28,0.07,3,Canada,Amazon,596805.0
2020-02-03,Collagen Peptides,Protein,153,49.9,7634.7,0.1,3,UK,Amazon,823350.0
2020-02-03,Magnesium,Mineral,151,44.79,6763.29,0.2,1,Canada,Amazon,739035.0
2020-02-03,Ashwagandha,Herbal,135,19.21,2593.35,0.22,2,UK,Amazon,316965.0
2020-02-03,Biotin,Vitamin,162,58.36,9454.32,0.1,5,UK,Amazon,962940.0
2020-02-03,Iron Supplement,Mineral,136,37.99,5166.64,0.13,2,USA,Amazon,626835.0
2020-02-10,Vitamin C,Vitamin,163,27.89,4546.07,0.12,3,UK,Amazon,460185.0
2020-02-10,Fish Oil,Omega,144,45.6,6566.4,0.21,0,Canada,Amazon,752400.0
2020-02-10,BCAA,Amino Acid,134,26.26,3518.84,0.17,0,UK,Amazon,433290.0
2020-02-10,Zinc,Mineral,155,35.63,5522.65,0.08,1,UK,Amazon,587895.0
2020-02-10,Melatonin,Sleep Aid,146,15.54,2268.84,0.11,0,Canada,Amazon,256410.0
2020-02-10,Electrolyte Powder,Hydration,151,22.09,3335.59,0.0,1,USA,Amazon,364485.0
2020-02-17,Multivitamin,Vitamin,151,51.57,7787.07,0.15,0,USA,Amazon,850905.0
2020-02-17,BCAA,Amino Acid,152,31.52,4791.04,0.08,1,UK,Amazon,520080.0
2020-02-17,Creatine,Performance,160,54.63,8740.8,0.11,2,UK,Amazon,901395.0
2020-02-17,Magnesium,Mineral,154,35.31,5437.74,0.16,0,USA,Amazon,582615.0
2020-02-17,Green Tea Extract,Fat Burner,117,26.94,3151.98,0.2,1,Canada,Amazon,444510.0
2020-02-17,Iron Supplement,Mineral,150,56.59,8488.5,0.1,0,UK,Amazon,933735.0
2020-02-17,Electrolyte Powder,Hydration,154,27.26,4198.04,0.13,3,Canada,Amazon,449790.0
2020-02-24,Fish Oil,Omega,154,51.19,7883.26,0.24,3,USA,Amazon,844635.0
2020-02-24,Pre-Workout,Performance,133,32.81,4363.73,0.09,0,Canada,Amazon,541365.0
2020-02-24,BCAA,Amino Acid,147,13.55,1991.85,0.02,1,UK,Amazon,223575.0
2020-02-24,Creatine,Performance,175,43.93,7687.75,0.09,2,UK,Amazon,724845.0
2020-02-24,Iron Supplement,Mineral,158,28.73,4539.34,0.04,1,UK,Amazon,474045.0
2020-02-24,Electrolyte Powder,Hydration,135,27.29,3684.15,0.04,0,Canada,Amazon,450285.0
2020-03-02,Whey Protein,Protein,155,27.03,4189.65,0.02,1,Canada,Amazon,445995.0
2020-03-02,BCAA,Amino Acid,169,57.8,9768.2,0.08,3,Canada,Amazon,953700.0
2020-03-02,Zinc,Mineral,146,27.02,3944.92,0.14,0,UK,Amazon,445830.0
2020-03-02,Collagen Peptides,Protein,152,48.1,7311.2,0.21,1,UK,Amazon,793650.0
2020-03-02,Magnesium,Mineral,143,19.73,2821.39,0.01,1,USA,Amazon,325545.0
2020-03-02,Ashwagandha,Herbal,152,39.02,5931.04,0.03,1,USA,Amazon,643830.0
2020-03-02,Melatonin,Sleep Aid,154,30.09,4633.86,0.25,3,Canada,Amazon,496485.0
2020-03-02,Biotin,Vitamin,154,41.03,6318.62,0.05,1,UK,Amazon,676995.0
2020-03-02,Iron Supplement,Mineral,151,16.53,2496.03,0.2,0,UK,Amazon,272745.0
2020-03-02,Electrolyte Powder,Hydration,161,53.85,8669.85,0.24,0,USA,Amazon,888525.0
2020-03-09,Pre-Workout,Performance,138,52.7,7272.6,0.11,3,Canada,Amazon,869550.0
2020-03-09,BCAA,Amino Acid,168,54.17,9100.56,0.11,2,Canada,Amazon,893805.0
2020-03-09,Creatine,Performance,154,10.96,1687.84,0.12,2,USA,Amazon,180840.0
2020-03-09,Collagen Peptides,Protein,162,20.54,3327.48,0.24,0,UK,Amazon,338910.0
2020-03-09,Green Tea Extract,Fat Burner,132,57.38,7574.16,0.02,3,USA,Amazon,946770.0
2020-03-09,Electrolyte Powder,Hydration,158,13.65,2156.7,0.1,1,Canada,Amazon,225225.0
2020-03-16,Fish Oil,Omega,145,16.15,2341.75,0.22,1,Canada,Amazon,266475.0
2020-03-16,Multivitamin,Vitamin,148,41.24,6103.52,0.02,2,UK,Amazon,680460.0
2020-03-16,BCAA,Amino Acid,151,48.77,7364.27,0.07,1,UK,Amazon,804705.0
2020-03-16,Creatine,Performance,142,41.48,5890.16,0.01,2,Canada,Amazon,684420.0
2020-03-16,Zinc,Mineral,143,35.56,5085.08,0.01,1,USA,Amazon,586740.0
2020-03-16,Melatonin,Sleep Aid,170,58.2,9894.0,0.02,2,Canada,Amazon,960300.0
2020-03-16,Electrolyte Powder,Hydration,155,28.0,4340.0,0.24,1,USA,Amazon,462000.0
2020-03-23,Vitamin C,Vitamin,147,52.52,7720.44,0.05,2,Canada,Amazon,866580.0
2020-03-23,Multivitamin,Vitamin,142,42.58,6046.36,0.18,1,Canada,Amazon,702570.0
2020-03-23,Zinc,Mineral,147,30.21,4440.87,0.13,2,UK,Amazon,498465.0
2020-03-23,Collagen Peptides,Protein,156,48.7,7597.2,0.19,1,Canada,Amazon,803550.0
2020-03-23,Ashwagandha,Herbal,160,27.4,4384.0,0.09,0,USA,Amazon,452100.0
2020-03-23,Biotin,Vitamin,168,49.02,8235.36,0.11,1,USA,Amazon,808830.0
